group,pos,team,pts,gd,elo
A,1,Argentina,6.57,0.73,2036
A,2,Austria,3.96,0.58,1787
A,3,Algeria,3.8,0.21,1808
A,4,Jordan,2.09,-0.38,1745
B,1,United States,4.5,-0.18,1824
B,2,Australia,4.47,0.2,1847
B,3,Turkey,4.25,0.28,1821
B,4,Paraguay,3.13,-0.19,1766
C,1,Iran,5.6,0.15,1853
C,2,Belgium,4.66,1.54,1863
C,3,Egypt,3.12,-0.09,1750
C,4,New Zealand,2.94,-0.65,1730
D,1,Canada,6.16,0.29,1820
D,2,Switzerland,5.49,1.16,1814
D,3,Qatar,2.85,-0.75,1643
D,4,Bosnia and Herzegovina,2.07,0.25,1582
E,1,Brazil,6.48,0.42,1958
E,2,Morocco,5.41,0.67,1898
E,3,Scotland,2.85,0.02,1749
E,4,Haiti,1.95,-0.15,1687
F,1,Spain,5.75,1.71,2063
F,2,Uruguay,5.51,-0.36,1876
F,3,Saudi Arabia,2.6,-0.3,1687
F,4,Cape Verde,2.34,0.19,1622
G,1,Portugal,5.69,0.55,1969
G,2,Colombia,5.08,0.07,1920
G,3,Uzbekistan,2.94,-0.1,1792
G,4,DR Congo,2.48,-0.03,1684
H,1,England,6.28,0.82,1960
H,2,Croatia,4.83,1.05,1891
H,3,Panama,3.74,-0.24,1802
H,4,Ghana,1.71,-0.16,1633
I,1,Germany,6.23,0.5,1919
I,2,Ecuador,5.18,-0.35,1865
I,3,Ivory Coast,3.63,0.42,1747
I,4,Curaçao,1.58,-0.12,1596
J,1,Mexico,6.17,-0.31,1889
J,2,South Korea,4.85,-0.09,1828
J,3,Czech Republic,3.12,0.11,1722
J,4,South Africa,2.33,-0.0,1658
K,1,France,6.38,0.03,2024
K,2,Senegal,4.29,0.41,1840
K,3,Norway,3.62,0.63,1812
K,4,Iraq,2.33,-0.49,1727
L,1,Netherlands,6.07,1.85,1931
L,2,Japan,5.3,0.42,1913
L,3,Tunisia,2.86,-0.1,1734
L,4,Sweden,2.28,-0.26,1717
